Slot,Square,Multiply,Reduce
0,42,41,42
1,42,42,42
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,42,42,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,42,41
42,41,0,41
43,0,42,41
44,0,42,41
45,0,42,41
46,0,42,41
47,0,42,41
48,0,42,41
49,0,42,41
50,0,42,41
51,41,0,41
52,0,42,41
53,0,42,41
54,0,42,41
55,0,42,41
56,0,42,0
57,0,0,0
58,0,0,0
59,0,42,41
60,0,42,41
61,0,42,41
62,0,42,41
63,0,42,41
64,0,0,41
65,0,42,41
66,0,42,41
67,0,42,41
68,41,0,41
69,0,42,41
70,0,42,41
71,0,42,0
72,0,42,41
73,0,42,41
74,0,42,41
75,0,42,41
76,0,42,41
77,0,0,41
78,0,42,41
79,0,42,41
80,42,42,0
81,0,42,41
82,0,42,41
83,41,0,41
84,0,42,41
85,0,42,41
86,0,42,41
87,0,42,41
88,0,42,41
89,0,42,41
90,0,42,41
91,0,42,41
92,0,42,41
93,0,42,41
94,0,42,41
95,0,42,41
96,0,42,41
97,0,42,41
98,0,42,41
99,0,42,41
100,41,42,41
101,0,42,41
102,0,42,41
103,0,42,41
104,0,42,41
105,42,42,0
106,0,0,41
107,41,42,41
108,0,42,41
109,0,42,41
110,0,42,41
111,0,42,0
112,0,42,41
113,0,42,41
114,0,42,41
115,0,42,41
116,0,0,41
117,41,0,41
118,41,0,41
119,41,0,41
120,0,42,41
121,0,42,41
122,41,42,41
123,0,42,41
124,0,42,41
125,0,42,41
126,0,42,41
127,0,42,41
128,0,42,41
129,0,42,41
130,41,0,41
131,0,42,41
132,0,42,41
133,0,42,41
134,0,42,41
135,0,42,41
136,0,42,41
137,0,42,41
138,41,42,41
139,0,42,41
140,0,42,41
141,0,42,41
142,41,0,41
143,41,0,41
144,41,0,41
145,0,42,41
146,0,42,41
147,0,42,41
148,0,42,41
149,0,42,41
150,0,42,0
151,0,42,41
152,0,42,41
153,0,42,41
154,0,42,41
155,0,42,41
156,0,42,41
157,42,42,0
158,41,0,41
159,0,42,41
160,41,0,41
161,0,42,41
162,0,42,41
163,0,42,41
164,0,42,41
165,0,42,41
166,42,42,0
167,42,42,0
168,0,42,41
169,41,0,41
170,0,42,41
171,0,42,41
172,0,42,41
173,0,42,41
174,0,42,41
175,0,42,41
176,41,42,41
177,41,0,41
178,0,42,41
179,42,42,0
180,0,42,41
181,0,42,41
182,0,42,41
183,0,42,41
184,0,42,41
185,0,42,41
186,0,42,41
187,0,42,41
188,0,42,41
189,0,42,41
190,0,42,41
191,41,42,41
192,0,0,41
193,0,42,41
194,0,0,41
195,0,42,41
196,0,42,41
197,0,42,41
198,0,42,41
199,0,42,41
200,41,0,41
201,0,42,41
202,0,0,41
203,0,42,41
204,0,42,41
205,0,0,41
206,41,0,41
207,0,42,41
